Id	Form	Lemma	UPosTag	XPosTag	Feats	Head	DepRel	Deps	Misc
635	первый	первый	NUM	_	Animacy=Inan|Case=Acc|Degree=Pos|Gender=Masc|Number=Sing	636	amod	_	@fai1992m-words#@fai1992m#1431.48#1431.832
636	раз	раз	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	639	obl	_	@fai1992m-words#@fai1992m#1431.832#1432.183
637	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	639	nsubj	_	@fai1992m-words#@fai1992m#1432.183#1432.535
638	именно	именно	PART	_	_	639	advmod	_	@fai1992m-words#@fai1992m#1432.535#1432.886
639	пил	пить	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	632	parataxis	_	@fai1992m-words#@fai1992m#1432.886#1433.238
640	то	то	PART	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	642	mark	_	@fai1992m-words#@fai1992m#1433.87#1434.163
641	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	640	fixed	_	@fai1992m-words#@fai1992m#1434.163#1434.457
642	выпивал	выпивать	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	639	xcomp	_	@fai1992m-words#@fai1992m#1434.457#1434.75
643	столько	столько	ADV	_	Degree=Pos	645	nummod:gov	_	@fai1992m-words#@fai1992m#1434.75#1435.044
644	водки	водка	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	643	obl	_	@fai1992m-words#@fai1992m#1435.044#1435.337
645	что	что	scONJ	_	Case=Acc	642	obj	_	@fai1992m-words#@fai1992m#1435.337#1435.631
646	можно	можно	PRED	_	Degree=Pos	642	advmod	_	@fai1992m-words#@fai1992m#1435.631#1435.925
647	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	649	cop	_	@fai1992m-words#@fai1992m#1435.925#1436.218
648	не	не	PART	_	_	649	advmod	_	@fai1992m-words#@fai1992m#1436.218#1436.512
649	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	639	conj	_	@fai1992m-words#@fai1992m#1436.512#1436.805
650	умереть	умереть	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	649	xcomp	_	@fai1992m-words#@fai1992m#1436.805#1437.099
651	/	/	PUNCT	_	_	653	punct	_	@fai1992m-words#@fai1992m#1437.099#1437.393
652	по	по	ADP	_	_	653	case	_	@fai1992m-words#@fai1992m#1437.393#1437.686
653	идее	идея	NOUN	_	Animacy=Inan|Case=Dat|Gender=Fem|Number=Sing	650	obl	_	@fai1992m-words#@fai1992m#1437.686#1437.98
654	/	/	PUNCT	_	_	658	punct	_	@fai1992m-words#@fai1992m#1437.98#1438.273
655	а	а	CCONJ	_	_	658	cc	_	@fai1992m-words#@fai1992m#1438.273#1438.567
656	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	658	nsubj	_	@fai1992m-words#@fai1992m#1438.567#1438.861
657	не	не	PART	_	_	658	advmod	_	@fai1992m-words#@fai1992m#1438.861#1439.154
658	пьянел	пьянеть	VERB	_	Aspect=Perf|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	669	advcl	_	@fai1992m-words#@fai1992m#1439.154#1439.448
659	ни	ни	PART	_	_	661	advmod	_	@fai1992m-words#@fai1992m#1439.448#1439.741
660	на	на	ADP	_	_	661	case	_	@fai1992m-words#@fai1992m#1439.741#1440.035
661	секунду	секунда	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	658	obl	_	@fai1992m-words#@fai1992m#1440.035#1440.329
662	вообще	вообще	ADV	_	Degree=Pos	669	obl	_	@fai1992m-words#@fai1992m#1440.329#1440.622
663	то	то	PART	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	669	mark	_	@fai1992m-words#@fai1992m#1440.622#1440.916
664	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	663	fixed	_	@fai1992m-words#@fai1992m#1440.916#1441.209
665	для	для	ADP	_	_	666	case	_	@fai1992m-words#@fai1992m#1441.209#1441.503
666	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	669	obl	_	@fai1992m-words#@fai1992m#1441.503#1441.797
667	это	это	DET	_	Case=Nom|Gender=Neut|Number=Sing	669	nsubj	_	@fai1992m-words#@fai1992m#1441.797#1442.09
668	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	669	cop	_	@fai1992m-words#@fai1992m#1442.09#1442.384
669	удивительно	удивительно	ADV	_	Degree=Pos|Gender=Neut|Number=Sing|Variant=Short	649	obl	_	@fai1992m-words#@fai1992m#1442.384#1442.677
670	именно	именно	PART	_	_	671	advmod	_	@fai1992m-words#@fai1992m#1442.677#1442.971
671	тогда	тогда	ADV	_	Degree=Pos	669	advmod	_	@fai1992m-words#@fai1992m#1442.971#1443.265
672	/	/	PUNCT	_	_	681	punct	_	@fai1992m-words#@fai1992m#1443.265#1443.558
673	в	в	ADP	_	_	675	case	_	@fai1992m-words#@fai1992m#1443.558#1443.852
674	таком	такой	PRON	_	Case=Loc|Gender=Masc|Number=Sing	675	det	_	@fai1992m-words#@fai1992m#1443.852#1444.145
675	возрасте	возраст	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	681	nmod	_	@fai1992m-words#@fai1992m#1444.145#1444.439
676	эээ	эээ	INTJ	_		681	nsubj	_	@fai1992m-words#@fai1992m#1444.439#1444.733
677	/	/	PUNCT	_	_	676	punct	_	@fai1992m-words#@fai1992m#1444.733#1445.026
678	конечно	конечно	PART	_	Degree=Pos	681	parataxis	_	@fai1992m-words#@fai1992m#1445.026#1445.32
679	не	не	PART	_	_	681	advmod	_	@fai1992m-words#@fai1992m#1445.32#1445.613
680	в	в	ADP	_	_	681	case	_	@fai1992m-words#@fai1992m#1445.613#1445.907
681	водке	водка	NOUN	_	Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing	669	obl	_	@fai1992m-words#@fai1992m#1445.907#1446.201
682	вся	весь	DET	_	Case=Nom|Gender=Fem|Number=Sing	681	det	_	@fai1992m-words#@fai1992m#1446.201#1446.494
683	суть	суть	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	684	nsubj	_	@fai1992m-words#@fai1992m#1446.494#1446.788
684	была	быть	AUX	_	Aspect=Imp|Gender=Fem|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	669	cop	_	@fai1992m-words#@fai1992m#1446.788#1447.081
685	а	а	CCONJ	_	_	690	cc	_	@fai1992m-words#@fai1992m#1447.081#1447.375
686	к	к	ADP	_	_	687	case	_	@fai1992m-words#@fai1992m#1447.375#1447.669
687	тому	то	PRON	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	690	obl	_	@fai1992m-words#@fai1992m#1447.669#1447.962
688	что	что	SCONJ	_	_	687	fixed	_	@fai1992m-words#@fai1992m#1447.962#1448.256
689	это	это	DET	_	Case=Nom|Gender=Neut|Number=Sing	690	nsubj	_	@fai1992m-words#@fai1992m#1448.256#1448.549
690	настолько	настолько	ADV	_	Degree=Pos	684	conj	_	@fai1992m-words#@fai1992m#1448.549#1448.843
691	было	быть	AUX	_	Aspect=Imp|Gender=Neut|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act	690	cop	_	@fai1992m-words#@fai1992m#1448.843#1449.137
692	такая	такой	PRON	_	Case=Nom|Gender=Fem|Number=Sing	693	det	_	@fai1992m-words#@fai1992m#1449.696#1450.056
693	шокирующая	шокировать	VERB	_	Aspect=Imp|Case=Nom|Gender=Fem|Number=Sing|Tense=Pres|VerbForm=Part|Voice=Act	694	amod	_	@fai1992m-words#@fai1992m#1450.056#1450.417
694	трагедия	трагедия	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	711	nsubj	_	@fai1992m-words#@fai1992m#1450.417#1450.778
695	именно	именно	PART	_	_	698	advmod	_	@fai1992m-words#@fai1992m#1450.778#1451.138
696	в	в	ADP	_	_	698	case	_	@fai1992m-words#@fai1992m#1451.138#1451.499
697	этом	этот	DET	_	Case=Loc|Gender=Masc|Number=Sing	698	det	_	@fai1992m-words#@fai1992m#1451.499#1451.86
698	возрасте	возраст	NOUN	_	Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing	711	obl	_	@fai1992m-words#@fai1992m#1451.86#1452.22
699	еще	еще	ADV	_	Degree=Pos	703	obl	_	@fai1992m-words#@fai1992m#1452.22#1452.581
700	среди	среди	ADP	_	_	703	case	_	@fai1992m-words#@fai1992m#1452.581#1452.942
701	/	/	PUNCT	_	_	703	punct	_	@fai1992m-words#@fai1992m#1452.942#1453.303
702	все	весь	DET	_	Case=Acc|Gender=Neut|Number=Sing	703	det	_	@fai1992m-words#@fai1992m#1453.303#1453.663
703	общество	общество	NOUN	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	711	obl	_	@fai1992m-words#@fai1992m#1453.663#1454.024
704	молодых	молодой	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	706	amod	_	@fai1992m-words#@fai1992m#1454.024#1454.385
705	тоже	тоже	PART	_	_	706	advmod	_	@fai1992m-words#@fai1992m#1454.385#1454.745
706	ребят	ребеть	NOUN	_	Animacy=Anim|Case=Gen|Gender=Neut|Number=Plur	703	nmod	_	@fai1992m-words#@fai1992m#1454.745#1455.106
707	потому	потому	ADV	_	Degree=Pos	711	mark	_	@fai1992m-words#@fai1992m#1455.106#1455.467
708	что	что	SCONJ	_	_	707	fixed	_	@fai1992m-words#@fai1992m#1455.467#1455.827
709	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	711	nsubj	_	@fai1992m-words#@fai1992m#1455.827#1456.188
710	все	весь	DET	_	Case=Nom|Number=Plur	709	det	_	@fai1992m-words#@fai1992m#1456.188#1456.549
711	дружили	дружить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	690	advcl	_	@fai1992m-words#@fai1992m#1456.549#1456.91
712	между	между	ADP	_	_	713	case	_	@fai1992m-words#@fai1992m#1456.91#1457.27
713	собой	себя	PRON	_	Case=Ins	711	obl	_	@fai1992m-words#@fai1992m#1457.27#1457.631
714	и	и	CCONJ	_	_	718	cc	_	@fai1992m-words#@fai1992m#1457.631#1457.992
715	все	все	DET	_	Case=Nom|Number=Plur	716	det	_	@fai1992m-words#@fai1992m#1457.992#1458.352
716	друг	друг	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	718	nsubj	_	@fai1992m-words#@fai1992m#1458.352#1458.713
717	друга	друг	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Sing	716	fixed	_	@fai1992m-words#@fai1992m#1458.713#1459.074
718	знали	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	711	conj	_	@fai1992m-words#@fai1992m#1459.074#1459.434
719	/	/	PUNCT	_	_	723	punct	_	@fai1992m-words#@fai1992m#1459.434#1459.795
720	и	и	CCONJ	_	_	723	cc	_	@fai1992m-words#@fai1992m#1459.795#1460.156
721	когда	когда	SCONJ	_	_	723	mark	_	@fai1992m-words#@fai1992m#1460.156#1460.517
722	ты	ты	PRON	_	Case=Nom|Number=Sing|Person=2	723	nsubj	_	@fai1992m-words#@fai1992m#1461.275#1461.591
723	делишься	делиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Mid	718	ccomp	_	@fai1992m-words#@fai1992m#1461.591#1461.907
724	этим	это	DET	_	Case=Ins|Gender=Neut|Number=Sing	723	obl	_	@fai1992m-words#@fai1992m#1461.907#1462.223
725	со	с	ADP	_	_	728	case	_	@fai1992m-words#@fai1992m#1462.223#1462.539
726	своими	свой	DET	_	Case=Ins|Number=Plur	728	det	_	@fai1992m-words#@fai1992m#1462.539#1462.855
727	вот	вот	PART	_	_	728	advmod	_	@fai1992m-words#@fai1992m#1462.855#1463.171
728	пацанами	пацан	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Plur	723	obl	_	@fai1992m-words#@fai1992m#1463.171#1463.487
729	ровесниками	ровесник	NOUN	_	Animacy=Anim|Case=Ins|Gender=Masc|Number=Plur	728	nmod	_	@fai1992m-words#@fai1992m#1463.487#1463.804
730	они	они	PRON	_	Case=Nom|Number=Plur|Person=3	723	nsubj	_	@fai1992m-words#@fai1992m#1463.804#1464.12
731	с	с	ADP	_	_	732	case	_	@fai1992m-words#@fai1992m#1464.12#1464.436
732	тобой	ты	PRON	_	Case=Ins|Number=Sing|Person=2	723	obl	_	@fai1992m-words#@fai1992m#1464.436#1464.752
733	делятся	делиться	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Mid	723	advmod	_	@fai1992m-words#@fai1992m#1464.752#1465.068
734	какими-то	какой-то	PRON	_	Case=Ins|Number=Plur	735	det	_	@fai1992m-words#@fai1992m#1465.068#1465.384
735	мыслями	мысль	NOUN	_	Animacy=Inan|Case=Ins|Gender=Fem|Number=Plur	733	obl	_	@fai1992m-words#@fai1992m#1465.384#1465.7
736	/	/	PUNCT	_	_	741	punct	_	@fai1992m-words#@fai1992m#1465.7#1466.016
737	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	741	nsubj	_	@fai1992m-words#@fai1992m#1466.016#1466.333
738	сейчас	сейчас	ADV	_	Degree=Pos	741	advmod	_	@fai1992m-words#@fai1992m#1466.333#1466.649
739	это	это	DET	_	Case=Acc|Gender=Neut|Number=Sing	741	obj	_	@fai1992m-words#@fai1992m#1466.649#1466.965
740	так	так	ADV	_	Degree=Pos	741	advmod	_	@fai1992m-words#@fai1992m#1466.965#1467.281
741	вспоминаю	вспоминать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	733	conj	_	@fai1992m-words#@fai1992m#1467.281#1467.597
742	на	на	ADP	_	_	744	case	_	@fai1992m-words#@fai1992m#1467.597#1467.913
743	самом	самый	PRON	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	744	amod	_	@fai1992m-words#@fai1992m#1467.913#1468.229
744	деле	дело	NOUN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	741	obl	_	@fai1992m-words#@fai1992m#1468.229#1468.546
745	такой	такой	DET	_	Case=Nom|Gender=Masc|Number=Sing	746	det	_	@fai1992m-words#@fai1992m#1470.165#1470.501
746	опыт	опыт	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	751	nsubj	_	@fai1992m-words#@fai1992m#1470.501#1470.838
747	/	/	PUNCT	_	_	746	punct	_	@fai1992m-words#@fai1992m#1470.838#1471.175
748	ну	ну	PART	_	_	751	parataxis	_	@fai1992m-words#@fai1992m#1471.175#1471.512
749	/	/	PUNCT	_	_	748	punct	_	@fai1992m-words#@fai1992m#1471.512#1471.848
750	не	не	PART	_	_	751	advmod	_	@fai1992m-words#@fai1992m#1471.848#1472.185
751	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	741	parataxis	_	@fai1992m-words#@fai1992m#1472.185#1472.522
752	/	/	PUNCT	_	_	754	punct	_	@fai1992m-words#@fai1992m#1472.522#1472.859
753	не	не	PART	_	_	754	advmod	_	@fai1992m-words#@fai1992m#1472.859#1473.195
754	хочу	хотеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	751	xcomp	_	@fai1992m-words#@fai1992m#1473.195#1473.532
755	никому	никто	PRON	_	Case=Dat	757	iobj	_	@fai1992m-words#@fai1992m#1473.532#1473.869
756	его	он	PRON	_	Case=Acc|Gender=Masc|Number=Sing|Person=3	757	obj	_	@fai1992m-words#@fai1992m#1473.869#1474.206
757	желать	желать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	754	xcomp	_	@fai1992m-words#@fai1992m#1474.206#1474.542
758	но	но	CCONJ	_	_	760	cc	_	@fai1992m-words#@fai1992m#1474.542#1474.879
759	это	это	DET	_	Case=Nom|Gender=Neut|Number=Sing	760	nsubj	_	@fai1992m-words#@fai1992m#1474.879#1475.216
760	опыт	опыт	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	751	conj	_	@fai1992m-words#@fai1992m#1475.216#1475.553
761	в	в	ADP	_	_	762	case	_	@fai1992m-words#@fai1992m#1476.007#1476.325
762	общем	общем	ADV	_	Case=Loc|Degree=Pos|Gender=Masc|Number=Sing	760	obl	_	@fai1992m-words#@fai1992m#1476.325#1476.643
763	сильный	сильный	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	751	amod	_	@fai1992m-words#@fai1992m#1476.643#1476.962
764	так	так	ADV	_	Degree=Pos	766	advmod	_	@fai1992m-words#@fai1992m#1477.352#1477.67
765	вот	вот	PART	_	_	764	advmod	_	@fai1992m-words#@fai1992m#1477.67#1477.989
766	пережить	пережить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	763	xcomp	_	@fai1992m-words#@fai1992m#1477.989#1478.307
767	такой	такой	DET	_	Case=Acc|Gender=Masc|Number=Sing	768	det	_	@fai1992m-words#@fai1992m#1478.307#1478.626
768	расклад	расклад	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	766	obj	_	@fai1992m-words#@fai1992m#1478.626#1478.945
769	но	но	CCONJ	_	_	773	cc	_	@fai1992m-words#@fai1992m#1479.617#1479.875
770	/	/	PUNCT	_	_	773	punct	_	@fai1992m-words#@fai1992m#1479.875#1480.134
771	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	773	nsubj	_	@fai1992m-words#@fai1992m#1480.134#1480.393
772	не	не	PART	_	_	773	advmod	_	@fai1992m-words#@fai1992m#1480.393#1480.652
773	знаю	знать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	766	conj	_	@fai1992m-words#@fai1992m#1480.652#1480.91
774	что	что	SCONJ	_	Case=Acc	776	obj	_	@fai1992m-words#@fai1992m#1480.91#1481.169
775	щас	сейчас	ADV	_	Degree=Pos	776	advmod	_	@fai1992m-words#@fai1992m#1481.169#1481.428
776	сказать	сказать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	780	xcomp	_	@fai1992m-words#@fai1992m#1481.428#1481.687
777	в	в	ADP	_	_	778	case	_	@fai1992m-words#@fai1992m#1481.687#1481.946
778	общем	общем	ADV	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	776	obl	_	@fai1992m-words#@fai1992m#1481.946#1482.204
779	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	780	nsubj	_	@fai1992m-words#@fai1992m#1482.204#1482.463
780	благодарен	благодарный	ADJ	_	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	798	obl	_	@fai1992m-words#@fai1992m#1482.463#1482.722
781	безумно	безумно	ADV	_	Degree=Pos	798	advmod	_	@fai1992m-words#@fai1992m#1482.722#1482.981
782	ему	он	PRON	_	Case=Dat|Gender=Masc|Number=Sing|Person=3	781	iobj	_	@fai1992m-words#@fai1992m#1482.981#1483.24
783	то	то	PART	_	_	789	mark	_	@fai1992m-words#@fai1992m#1483.24#1483.498
784	что	что	SCONJ	_	Case=Acc	789	obj	_	@fai1992m-words#@fai1992m#1483.498#1483.757
785	я…	я	PRON	_	_	784	punct	_	@fai1992m-words#@fai1992m#1483.757#1484.016
786	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	789	nsubj	_	@fai1992m-words#@fai1992m#1484.016#1484.275
787	бы	бы	PART	_	_	789	aux	_	@fai1992m-words#@fai1992m#1484.275#1484.534
788	не	не	PART	_	_	789	advmod	_	@fai1992m-words#@fai1992m#1484.534#1484.792
789	занимался	заниматься	VERB	_	Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Mid	798	advcl	_	@fai1992m-words#@fai1992m#1484.792#1485.051
790	в	в	ADP	_	_	791	case	_	@fai1992m-words#@fai1992m#1485.051#1485.31
791	общем	общий	ADJ	_	Case=Loc|Degree=Pos|Gender=Neut|Number=Sing	798	obl	_	@fai1992m-words#@fai1992m#1485.31#1485.569
792	этим	это	DET	_	Case=Ins|Gender=Neut|Number=Sing	798	obl	_	@fai1992m-words#@fai1992m#1485.569#1485.828
793	вообще	вообще	ADV	_	Degree=Pos	798	advmod	_	@fai1992m-words#@fai1992m#1485.828#1486.086
794	/	/	PUNCT	_	_	798	punct	_	@fai1992m-words#@fai1992m#1486.086#1486.345
795	то	то	PART	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	798	mark	_	@fai1992m-words#@fai1992m#1486.345#1486.604
796	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	795	fixed	_	@fai1992m-words#@fai1992m#1486.604#1486.863
797	не	не	PART	_	_	798	advmod	_	@fai1992m-words#@fai1992m#1486.863#1487.122
798	сидели	сидеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	773	ccomp	_	@fai1992m-words#@fai1992m#1487.122#1487.38
799	бы	бы	PART	_	_	798	aux	_	@fai1992m-words#@fai1992m#1487.38#1487.639
800	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	798	nsubj	_	@fai1992m-words#@fai1992m#1487.639#1487.898
801	тут	тут	ADV	_	Degree=Pos	798	advmod	_	@fai1992m-words#@fai1992m#1487.898#1488.157
802	вдвоем	вдвоем	ADV	_	Degree=Pos	801	advmod	_	@fai1992m-words#@fai1992m#1488.157#1488.416
803	/	/	PUNCT	_	_	805	punct	_	@fai1992m-words#@fai1992m#1488.416#1488.674
804	никакого	никакой	PRON	_	Case=Gen|Gender=Neut|Number=Sing	805	det	_	@fai1992m-words#@fai1992m#1488.674#1488.933
805	вина	вина	NOUN	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	801	obl	_	@fai1992m-words#@fai1992m#1488.933#1489.192
806	там	там	ADV	_	Degree=Pos	805	advmod	_	@fai1992m-words#@fai1992m#1489.192#1489.451
807	/	/	PUNCT	_	_	809	punct	_	@fai1992m-words#@fai1992m#1489.451#1489.71
808	ни	ни	CCONJ	_	_	809	cc	_	@fai1992m-words#@fai1992m#1489.71#1489.968
809	футбола	футбол	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	806	nmod	_	@fai1992m-words#@fai1992m#1489.968#1490.227
810	/	/	PUNCT	_	_	834	punct	_	@fai1992m-words#@fai1992m#1490.227#1490.486
811	ничё	ничего	PRON	_	Degree=Pos	812	advmod	_	@fai1992m-words#@fai1992m#1490.486#1490.745
812	ваще	вообще	ADV	_	Degree=Cmp	834	advmod	_	@fai1992m-words#@fai1992m#1490.745#1491.004
813	то	то	PART	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	834	mark	_	@fai1992m-words#@fai1992m#1491.294#1491.725
814	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	813	fixed	_	@fai1992m-words#@fai1992m#1491.725#1492.156
815	именно	именно	PART	_	_	817	advmod	_	@fai1992m-words#@fai1992m#1492.156#1492.587
816	/	/	PUNCT	_	_	817	punct	_	@fai1992m-words#@fai1992m#1492.587#1493.018
817	рэп	рэп	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	834	obl	_	@fai1992m-words#@fai1992m#1493.018#1493.449
818	и	и	CCONJ	_	_	822	cc	_	@fai1992m-words#@fai1992m#1493.449#1493.88
819	вся	весь	DET	_	Case=Nom|Gender=Fem|Number=Sing	822	det	_	@fai1992m-words#@fai1992m#1493.88#1494.311
820	вот	вот	PART	_	_	821	advmod	_	@fai1992m-words#@fai1992m#1494.311#1494.742
821	эта	этот	DET	_	Case=Nom|Gender=Fem|Number=Sing	822	det	_	@fai1992m-words#@fai1992m#1494.742#1495.173
822	движуха	движуха	NOUN	_	Animacy=Anim|Case=Nom|Gender=Fem|Number=Sing	817	conj	_	@fai1992m-words#@fai1992m#1495.173#1495.605
823	как	как	SCONJ	_	_	824	mark	_	@fai1992m-words#@fai1992m#1495.605#1496.036
824	чё	что	SCONJ	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	834	advcl	_	@fai1992m-words#@fai1992m#1496.036#1496.467
825	про	про	ADP	_	_	826	case	_	@fai1992m-words#@fai1992m#1496.467#1496.898
826	что	что	SCONJ	_	Case=Acc	824	nmod	_	@fai1992m-words#@fai1992m#1496.898#1497.329
827	/	/	PUNCT	_	_	826	punct	_	@fai1992m-words#@fai1992m#1497.329#1497.76
828	вот	вот	PART	_	_	824	advmod	_	@fai1992m-words#@fai1992m#1497.76#1498.191
829	/	/	PUNCT	_	_	830	punct	_	@fai1992m-words#@fai1992m#1498.191#1498.622
830	Родион	Родион	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	828	appos	_	@fai1992m-words#@fai1992m#1498.622#1499.053
831	/	/	PUNCT	_	_	832	punct	_	@fai1992m-words#@fai1992m#1499.053#1499.484
832	Родник	родник	PROPN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	830	nmod	_	@fai1992m-words#@fai1992m#1499.484#1499.916
833	мы	мы	PRON	_	Case=Nom|Number=Plur|Person=1	834	nsubj	_	@fai1992m-words#@fai1992m#1507.631#1508.183
834	купили	купить	VERB	_	Aspect=Perf|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act	809	parataxis	_	@fai1992m-words#@fai1992m#1508.183#1508.735
835	картошки	картошка	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	850	obj	_	@fai1992m-words#@fai1992m#1508.735#1509.287
836	эээ	эээ	INTJ	_		850	advmod	_	@fai1992m-words#@fai1992m#1509.287#1509.839
837	частично	частично	ADV	_	Degree=Pos	838	advmod	_	@fai1992m-words#@fai1992m#1509.839#1510.391
838	эээ	эээ	INTJ	_		850	advmod	_	@fai1992m-words#@fai1992m#1510.391#1510.943
839	там	там	ADV	_	Degree=Pos	838	advmod	_	@fai1992m-words#@fai1992m#1510.943#1511.496
840	на	на	ADP	_	_	841	case	_	@fai1992m-words#@fai1992m#1511.496#1511.925
841	оптовом	оптовый	ADJ	_	Animacy=Inan|Case=Ins|Gender=Neut|Number=Sing	850	obl	_	@fai1992m-words#@fai1992m#1511.925#1512.354
842	вот	вот	PART	_	_	850	advmod	_	@fai1992m-words#@fai1992m#1513.047#1513.343
843	/	/	PUNCT	_	_	850	punct	_	@fai1992m-words#@fai1992m#1513.343#1513.64
844	такую	такой	DET	_	Case=Acc|Gender=Fem|Number=Sing	845	det	_	@fai1992m-words#@fai1992m#1513.64#1513.936
845	большую	большой	ADJ	_	Case=Acc|Degree=Pos|Gender=Fem|Number=Sing	850	obl	_	@fai1992m-words#@fai1992m#1513.936#1514.233
846	/	/	PUNCT	_	_	847	punct	_	@fai1992m-words#@fai1992m#1514.233#1514.53
